comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31
Alhué,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,5.0,4.0,3.0,8.0,6.0,4.0,3.0,1.0,4.0,,6.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,,,,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0
Alto Hospicio,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Angol,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,2.0,
Buin,25.0,27.0,22.0,29.0,22.0,16.0,41.0,34.0,29.0,39.0,27.0,40.0,29.0,36.0,27.0,27.0,26.0,50.0,29.0,40.0,28.0,32.0,40.0,41.0,38.0,32.0,24.0,20.0,23.0,20.0,32.0,26.0,29.0,22.0,27.0,18.0,12.0,12.0,22.0,17.0,26.0,9.0,24.0,16.0,9.0,27.0,10.0,12.0,15.0,15.0,7.0,14.0,6.0,19.0,6.0,10.0,8.0,12.0,10.0,11.0,9.0
Calera,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
Calera de Tango,2.0,9.0,8.0,10.0,5.0,5.0,9.0,11.0,7.0,11.0,7.0,9.0,7.0,8.0,3.0,4.0,7.0,10.0,11.0,15.0,18.0,6.0,16.0,11.0,9.0,13.0,9.0,15.0,11.0,10.0,10.0,8.0,5.0,5.0,3.0,8.0,2.0,4.0,,1.0,5.0,1.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,,1.0,2.0,1.0,,2.0,3.0,2.0,3.0
Cartagena,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,
Castro,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cauquenes,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,
Cañete,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,
Cerrillos,12.0,17.0,14.0,12.0,14.0,17.0,27.0,39.0,29.0,28.0,23.0,19.0,22.0,29.0,27.0,41.0,47.0,34.0,40.0,43.0,27.0,23.0,26.0,27.0,21.0,22.0,23.0,26.0,20.0,18.0,18.0,13.0,18.0,22.0,25.0,18.0,10.0,12.0,11.0,8.0,7.0,5.0,4.0,9.0,8.0,7.0,4.0,6.0,5.0,6.0,7.0,8.0,6.0,9.0,10.0,7.0,7.0,6.0,4.0,4.0,2.0
Cerro Navia,33.0,30.0,31.0,27.0,25.0,17.0,58.0,44.0,68.0,62.0,67.0,59.0,58.0,61.0,43.0,59.0,58.0,61.0,62.0,60.0,57.0,52.0,59.0,63.0,52.0,55.0,46.0,44.0,33.0,36.0,40.0,29.0,43.0,40.0,35.0,32.0,17.0,19.0,21.0,10.0,21.0,23.0,12.0,26.0,17.0,14.0,24.0,18.0,18.0,20.0,10.0,17.0,10.0,14.0,15.0,9.0,10.0,8.0,7.0,8.0,6.0
Chillán ,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0
Colbún,1.0,,2.0,1.0,,2.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Colina,20.0,18.0,20.0,23.0,17.0,23.0,42.0,23.0,34.0,23.0,28.0,31.0,31.0,30.0,29.0,37.0,55.0,53.0,53.0,55.0,40.0,47.0,48.0,42.0,34.0,44.0,26.0,26.0,31.0,16.0,27.0,24.0,24.0,25.0,21.0,20.0,14.0,19.0,19.0,9.0,12.0,18.0,8.0,19.0,14.0,22.0,20.0,23.0,17.0,17.0,12.0,15.0,11.0,9.0,16.0,8.0,8.0,11.0,14.0,8.0,12.0
Concepción,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,
Conchalí,33.0,18.0,16.0,28.0,17.0,21.0,46.0,43.0,57.0,39.0,52.0,69.0,62.0,55.0,46.0,64.0,69.0,71.0,86.0,64.0,86.0,59.0,62.0,77.0,63.0,64.0,50.0,45.0,46.0,31.0,48.0,28.0,30.0,31.0,31.0,27.0,14.0,21.0,18.0,12.0,19.0,10.0,13.0,12.0,8.0,11.0,14.0,6.0,11.0,15.0,6.0,7.0,14.0,9.0,6.0,12.0,5.0,13.0,8.0,23.0,17.0
Copiapó,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
Coquimbo,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,3.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,3.0,1.0,2.0,1.0,2.0,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,2.0,,2.0,,1.0,3.0,1.0
Coronel,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
Curacaví,6.0,5.0,1.0,3.0,9.0,5.0,13.0,8.0,12.0,13.0,16.0,16.0,14.0,12.0,6.0,11.0,17.0,15.0,13.0,9.0,20.0,8.0,13.0,16.0,12.0,15.0,9.0,12.0,15.0,10.0,13.0,10.0,10.0,10.0,7.0,3.0,6.0,4.0,3.0,6.0,3.0,3.0,8.0,6.0,7.0,5.0,4.0,8.0,2.0,7.0,5.0,2.0,5.0,3.0,4.0,4.0,8.0,4.0,8.0,4.0,4.0
Curicó,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,,4.0,2.0,1.0,2.0,,2.0,2.0,,,,,,1.0,1.0,3.0,,2.0,2.0,,1.0,2.0,1.0,,2.0,,2.0,,1.0,1.0,1.0,,,1.0,,,,,1.0
EJERCICIO LIBRE,54.0,69.0,61.0,64.0,64.0,55.0,149.0,115.0,126.0,103.0,112.0,98.0,114.0,99.0,89.0,115.0,135.0,137.0,130.0,140.0,126.0,82.0,102.0,107.0,101.0,106.0,85.0,78.0,71.0,61.0,80.0,68.0,81.0,69.0,68.0,67.0,45.0,55.0,50.0,39.0,64.0,48.0,53.0,43.0,39.0,37.0,37.0,45.0,38.0,47.0,38.0,45.0,52.0,75.0,68.0,52.0,60.0,79.0,77.0,95.0,104.0
El Bosque,21.0,26.0,20.0,17.0,17.0,17.0,54.0,37.0,44.0,34.0,35.0,36.0,36.0,28.0,23.0,43.0,56.0,71.0,61.0,69.0,66.0,44.0,63.0,49.0,45.0,33.0,41.0,39.0,31.0,39.0,29.0,33.0,33.0,32.0,32.0,25.0,13.0,9.0,10.0,14.0,16.0,12.0,18.0,18.0,14.0,18.0,20.0,12.0,16.0,23.0,10.0,11.0,4.0,10.0,9.0,8.0,8.0,6.0,8.0,6.0,10.0
El Carmen,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
El Monte,2.0,6.0,5.0,3.0,3.0,9.0,11.0,14.0,9.0,14.0,14.0,10.0,5.0,6.0,3.0,9.0,15.0,10.0,17.0,15.0,11.0,12.0,18.0,19.0,15.0,9.0,20.0,9.0,12.0,10.0,12.0,10.0,10.0,5.0,7.0,5.0,4.0,10.0,8.0,11.0,1.0,4.0,5.0,2.0,3.0,4.0,3.0,6.0,5.0,6.0,6.0,4.0,6.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,7.0
El Quisco,,1.0,,,,,,,,,,,,,,1.0,,2.0,2.0,1.0,2.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,
El Tabo,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,
Estación Central,48.0,52.0,40.0,41.0,44.0,50.0,61.0,66.0,64.0,67.0,64.0,53.0,64.0,72.0,53.0,66.0,70.0,62.0,62.0,67.0,57.0,45.0,59.0,75.0,61.0,68.0,59.0,70.0,41.0,48.0,56.0,61.0,52.0,54.0,58.0,47.0,31.0,29.0,41.0,30.0,24.0,40.0,19.0,17.0,16.0,24.0,15.0,17.0,10.0,21.0,4.0,7.0,12.0,18.0,20.0,18.0,15.0,13.0,11.0,16.0,18.0
Huara,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huechuraba,11.0,14.0,15.0,11.0,8.0,13.0,40.0,32.0,36.0,31.0,25.0,27.0,39.0,39.0,35.0,39.0,47.0,36.0,54.0,39.0,46.0,24.0,30.0,24.0,25.0,25.0,25.0,22.0,18.0,19.0,26.0,22.0,20.0,24.0,17.0,16.0,5.0,2.0,12.0,3.0,7.0,6.0,10.0,11.0,6.0,11.0,5.0,13.0,6.0,5.0,6.0,6.0,2.0,9.0,4.0,2.0,8.0,8.0,4.0,8.0,5.0
Illapel,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Independencia,21.0,16.0,23.0,13.0,12.0,13.0,29.0,37.0,27.0,25.0,26.0,25.0,36.0,38.0,34.0,36.0,39.0,46.0,31.0,27.0,26.0,24.0,31.0,26.0,38.0,35.0,25.0,33.0,25.0,14.0,28.0,23.0,27.0,30.0,29.0,26.0,15.0,8.0,16.0,16.0,15.0,15.0,10.0,9.0,3.0,8.0,5.0,10.0,8.0,8.0,4.0,9.0,7.0,6.0,10.0,8.0,5.0,11.0,4.0,12.0,5.0
Iquique,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,,3.0,3.0,2.0,1.0,2.0,2.0,1.0,,3.0,1.0,,,5.0,2.0,1.0,4.0,2.0,,,,2.0,,,2.0,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,1.0,,
Isla de Maipo,4.0,6.0,7.0,9.0,10.0,6.0,17.0,11.0,12.0,4.0,6.0,12.0,15.0,13.0,12.0,19.0,19.0,20.0,19.0,13.0,10.0,10.0,10.0,14.0,11.0,12.0,8.0,15.0,5.0,12.0,15.0,5.0,14.0,11.0,9.0,11.0,6.0,2.0,10.0,2.0,1.0,5.0,2.0,4.0,1.0,6.0,1.0,,3.0,1.0,2.0,5.0,3.0,3.0,4.0,1.0,5.0,5.0,4.0,3.0,2.0
La Cisterna,5.0,18.0,14.0,12.0,16.0,13.0,24.0,20.0,25.0,15.0,19.0,23.0,29.0,15.0,19.0,17.0,23.0,27.0,33.0,31.0,22.0,18.0,18.0,19.0,20.0,22.0,16.0,16.0,18.0,8.0,13.0,17.0,15.0,10.0,16.0,23.0,15.0,4.0,12.0,5.0,5.0,6.0,6.0,8.0,4.0,10.0,4.0,7.0,3.0,5.0,2.0,5.0,3.0,10.0,8.0,5.0,10.0,3.0,4.0,9.0,7.0
La Cruz,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
La Florida,58.0,57.0,50.0,49.0,52.0,56.0,117.0,99.0,90.0,91.0,83.0,80.0,95.0,114.0,72.0,114.0,130.0,153.0,117.0,123.0,111.0,100.0,115.0,119.0,116.0,111.0,103.0,93.0,85.0,88.0,79.0,99.0,89.0,79.0,57.0,68.0,46.0,51.0,49.0,47.0,51.0,40.0,50.0,37.0,25.0,40.0,27.0,41.0,31.0,36.0,26.0,33.0,31.0,35.0,24.0,23.0,32.0,27.0,34.0,34.0,30.0
La Granja,18.0,26.0,24.0,18.0,18.0,17.0,57.0,44.0,35.0,36.0,45.0,37.0,53.0,47.0,36.0,42.0,46.0,59.0,63.0,68.0,54.0,51.0,42.0,55.0,50.0,46.0,38.0,48.0,33.0,33.0,35.0,30.0,36.0,35.0,27.0,29.0,10.0,11.0,17.0,10.0,15.0,13.0,20.0,7.0,11.0,13.0,12.0,18.0,19.0,11.0,11.0,8.0,11.0,4.0,8.0,5.0,7.0,2.0,6.0,7.0,7.0
La Pintana,29.0,32.0,23.0,30.0,30.0,40.0,42.0,38.0,33.0,49.0,47.0,59.0,61.0,52.0,40.0,56.0,64.0,60.0,66.0,63.0,49.0,48.0,67.0,64.0,57.0,56.0,47.0,58.0,36.0,48.0,43.0,53.0,32.0,34.0,33.0,23.0,18.0,28.0,21.0,18.0,19.0,13.0,12.0,17.0,17.0,17.0,16.0,26.0,17.0,19.0,13.0,11.0,11.0,10.0,8.0,7.0,10.0,3.0,5.0,5.0,6.0
La Reina,14.0,14.0,20.0,17.0,19.0,6.0,27.0,16.0,22.0,16.0,20.0,23.0,22.0,27.0,21.0,30.0,35.0,33.0,32.0,29.0,24.0,38.0,23.0,28.0,18.0,18.0,12.0,21.0,7.0,9.0,13.0,11.0,13.0,25.0,13.0,22.0,10.0,10.0,3.0,6.0,8.0,5.0,4.0,7.0,5.0,13.0,10.0,4.0,6.0,7.0,1.0,5.0,3.0,3.0,6.0,2.0,3.0,5.0,7.0,4.0,3.0
La Serena,1.0,2.0,1.0,2.0,1.0,4.0,,,,,1.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,4.0,1.0,,1.0,,,,,1.0,,3.0,1.0,1.0,2.0,,,,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0
Lago Ranco,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampa,10.0,13.0,8.0,13.0,13.0,11.0,21.0,20.0,14.0,15.0,11.0,11.0,20.0,13.0,12.0,15.0,18.0,40.0,35.0,32.0,24.0,20.0,25.0,21.0,30.0,19.0,26.0,20.0,19.0,12.0,22.0,22.0,24.0,15.0,16.0,12.0,16.0,11.0,15.0,15.0,11.0,9.0,9.0,11.0,6.0,13.0,10.0,14.0,10.0,6.0,7.0,8.0,6.0,3.0,9.0,3.0,2.0,3.0,,2.0,2.0
Las Condes,12.0,23.0,24.0,27.0,20.0,30.0,77.0,67.0,51.0,58.0,49.0,64.0,68.0,100.0,74.0,84.0,80.0,83.0,59.0,49.0,53.0,34.0,32.0,59.0,59.0,47.0,54.0,54.0,38.0,38.0,46.0,36.0,29.0,29.0,26.0,19.0,20.0,14.0,16.0,33.0,28.0,13.0,17.0,7.0,6.0,16.0,9.0,12.0,14.0,15.0,9.0,14.0,10.0,9.0,16.0,16.0,7.0,15.0,11.0,16.0,34.0
Linares,,1.0,,1.0,,1.0,3.0,,2.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Llanquihue,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,
Lo Barnechea,7.0,10.0,6.0,6.0,9.0,8.0,25.0,21.0,19.0,22.0,15.0,13.0,15.0,19.0,25.0,26.0,28.0,14.0,21.0,14.0,14.0,7.0,18.0,13.0,18.0,17.0,16.0,16.0,15.0,6.0,7.0,10.0,11.0,16.0,9.0,12.0,9.0,7.0,8.0,11.0,8.0,7.0,11.0,5.0,3.0,7.0,7.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,,,3.0,2.0
Lo Espejo,12.0,11.0,8.0,7.0,9.0,6.0,27.0,30.0,25.0,32.0,26.0,33.0,29.0,22.0,24.0,36.0,32.0,33.0,31.0,22.0,19.0,15.0,23.0,24.0,28.0,22.0,22.0,21.0,16.0,19.0,19.0,21.0,17.0,16.0,11.0,15.0,11.0,6.0,13.0,7.0,7.0,9.0,6.0,5.0,10.0,7.0,6.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,5.0,4.0,2.0
Lo Prado,39.0,48.0,27.0,26.0,32.0,19.0,54.0,58.0,49.0,62.0,61.0,74.0,55.0,61.0,49.0,67.0,55.0,60.0,76.0,57.0,62.0,49.0,57.0,54.0,40.0,62.0,49.0,42.0,54.0,37.0,40.0,32.0,49.0,41.0,39.0,33.0,21.0,19.0,25.0,18.0,20.0,24.0,23.0,16.0,15.0,18.0,22.0,11.0,17.0,22.0,7.0,20.0,16.0,11.0,18.0,8.0,15.0,11.0,10.0,15.0,13.0
