comuna_estab_deis,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21
Los Andes,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,
Macul,19.0,5.0,19.0,8.0,19.0,20.0,47.0,41.0,60.0,45.0,45.0,66.0,47.0,59.0,47.0,51.0,59.0,42.0,23.0,38.0,31.0,31.0,32.0,41.0,37.0,30.0,44.0,36.0,30.0,39.0,36.0,45.0,23.0,35.0,31.0,20.0,10.0,18.0,17.0,21.0,7.0,21.0,26.0,17.0,16.0,7.0,23.0,21.0,6.0,26.0,18.0
Maipú,105.0,86.0,93.0,60.0,81.0,109.0,147.0,204.0,211.0,199.0,187.0,204.0,213.0,163.0,160.0,183.0,198.0,147.0,157.0,229.0,181.0,168.0,205.0,206.0,144.0,158.0,207.0,161.0,156.0,178.0,165.0,128.0,145.0,138.0,118.0,120.0,67.0,82.0,91.0,65.0,62.0,65.0,51.0,33.0,56.0,57.0,34.0,55.0,52.0,50.0,59.0
Maria Pinto,8.0,6.0,7.0,4.0,2.0,3.0,2.0,2.0,10.0,2.0,7.0,9.0,18.0,9.0,5.0,24.0,23.0,18.0,9.0,23.0,29.0,19.0,14.0,17.0,16.0,8.0,4.0,2.0,9.0,5.0,9.0,17.0,20.0,16.0,19.0,27.0,,5.0,10.0,,3.0,7.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0
Melipilla,61.0,30.0,41.0,38.0,29.0,29.0,46.0,37.0,21.0,36.0,36.0,44.0,30.0,54.0,46.0,50.0,71.0,34.0,52.0,64.0,53.0,50.0,49.0,81.0,39.0,36.0,97.0,48.0,30.0,100.0,51.0,22.0,74.0,60.0,23.0,61.0,39.0,22.0,33.0,34.0,31.0,22.0,19.0,26.0,16.0,23.0,19.0,40.0,26.0,32.0,36.0
Molina,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
Monte Patria,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
Ovalle,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,,2.0,1.0,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
Padre Hurtado,14.0,20.0,11.0,5.0,20.0,12.0,44.0,59.0,50.0,59.0,63.0,44.0,49.0,52.0,25.0,18.0,50.0,38.0,31.0,50.0,46.0,47.0,39.0,41.0,31.0,35.0,64.0,41.0,39.0,46.0,28.0,44.0,26.0,15.0,29.0,18.0,8.0,14.0,6.0,6.0,16.0,20.0,9.0,10.0,19.0,11.0,9.0,19.0,12.0,12.0,5.0
Paine,30.0,55.0,37.0,35.0,51.0,19.0,44.0,50.0,66.0,70.0,66.0,50.0,46.0,50.0,43.0,48.0,42.0,45.0,44.0,57.0,43.0,23.0,45.0,39.0,30.0,30.0,68.0,39.0,16.0,102.0,37.0,36.0,82.0,23.0,39.0,49.0,17.0,20.0,16.0,17.0,9.0,25.0,21.0,8.0,18.0,38.0,10.0,8.0,24.0,9.0,10.0
Parral,,,1.0,2.0,,1.0,,,,,1.0,,,3.0,1.0,,3.0,1.0,,1.0,,,,1.0,,5.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
Pedro Aguirre Cerda,17.0,25.0,40.0,23.0,29.0,31.0,50.0,51.0,68.0,43.0,51.0,63.0,23.0,40.0,60.0,56.0,48.0,57.0,60.0,66.0,69.0,49.0,59.0,72.0,68.0,48.0,74.0,67.0,39.0,60.0,55.0,39.0,31.0,28.0,38.0,35.0,22.0,22.0,12.0,18.0,7.0,7.0,6.0,8.0,10.0,4.0,12.0,7.0,9.0,15.0,18.0
Peñaflor,21.0,22.0,21.0,28.0,16.0,19.0,51.0,31.0,47.0,75.0,44.0,43.0,65.0,40.0,27.0,48.0,28.0,21.0,62.0,47.0,37.0,53.0,45.0,42.0,30.0,36.0,36.0,25.0,38.0,39.0,45.0,26.0,40.0,37.0,18.0,34.0,23.0,17.0,12.0,16.0,12.0,19.0,21.0,12.0,44.0,22.0,5.0,47.0,18.0,18.0,9.0
Peñalolén,63.0,62.0,48.0,36.0,45.0,38.0,71.0,77.0,86.0,65.0,96.0,75.0,65.0,89.0,67.0,77.0,71.0,76.0,117.0,99.0,88.0,129.0,101.0,149.0,92.0,63.0,128.0,73.0,88.0,110.0,85.0,91.0,93.0,91.0,68.0,63.0,46.0,30.0,23.0,36.0,19.0,21.0,40.0,15.0,37.0,38.0,30.0,27.0,19.0,29.0,10.0
Pirque,13.0,8.0,8.0,18.0,13.0,5.0,8.0,9.0,13.0,7.0,7.0,3.0,14.0,4.0,10.0,24.0,9.0,12.0,20.0,22.0,18.0,42.0,28.0,19.0,20.0,17.0,10.0,20.0,30.0,11.0,16.0,30.0,26.0,20.0,24.0,24.0,18.0,19.0,12.0,13.0,3.0,11.0,25.0,,1.0,17.0,,,3.0,,
Providencia,58.0,38.0,32.0,38.0,38.0,25.0,86.0,65.0,83.0,81.0,43.0,78.0,71.0,50.0,59.0,69.0,73.0,70.0,68.0,67.0,78.0,62.0,64.0,87.0,50.0,70.0,89.0,50.0,51.0,61.0,54.0,36.0,50.0,62.0,35.0,50.0,37.0,24.0,21.0,17.0,22.0,12.0,19.0,24.0,10.0,15.0,14.0,16.0,24.0,14.0,18.0
Pudahuel,87.0,51.0,70.0,77.0,70.0,74.0,119.0,166.0,134.0,154.0,176.0,170.0,146.0,217.0,176.0,152.0,177.0,170.0,96.0,153.0,183.0,134.0,141.0,144.0,140.0,125.0,157.0,118.0,117.0,127.0,116.0,94.0,70.0,101.0,71.0,63.0,57.0,69.0,52.0,27.0,45.0,38.0,16.0,51.0,39.0,25.0,44.0,36.0,33.0,20.0,23.0
Puente Alto,162.0,137.0,123.0,148.0,110.0,111.0,182.0,266.0,223.0,246.0,261.0,195.0,301.0,266.0,210.0,273.0,273.0,267.0,227.0,267.0,285.0,207.0,219.0,261.0,203.0,191.0,240.0,197.0,207.0,227.0,194.0,188.0,187.0,185.0,163.0,167.0,110.0,74.0,102.0,79.0,68.0,97.0,100.0,70.0,71.0,74.0,59.0,58.0,47.0,40.0,39.0
Puerto Montt,2.0,,,1.0,,,2.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,2.0,,,1.0,,,,,1.0,,,2.0,,,,,,
Puerto Varas,1.0,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
Punta Arenas,,,1.0,,,1.0,,4.0,,2.0,1.0,,2.0,,,,,4.0,7.0,,3.0,7.0,,,,,,,1.0,,,3.0,,,2.0,2.0,,,5.0,2.0,,,,,,1.0,,,1.0,,
Quilicura,32.0,33.0,41.0,23.0,50.0,25.0,73.0,77.0,90.0,75.0,91.0,99.0,68.0,96.0,86.0,63.0,106.0,95.0,65.0,113.0,105.0,77.0,76.0,116.0,60.0,59.0,79.0,48.0,101.0,70.0,41.0,85.0,46.0,32.0,43.0,39.0,21.0,40.0,31.0,17.0,35.0,33.0,25.0,39.0,17.0,22.0,28.0,41.0,28.0,18.0,28.0
Quilpue,,,2.0,,,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,,1.0,,,1.0,,,1.0,,,
Quinta Normal,43.0,61.0,36.0,53.0,36.0,13.0,91.0,100.0,55.0,90.0,92.0,69.0,58.0,63.0,70.0,78.0,56.0,54.0,64.0,86.0,63.0,43.0,77.0,80.0,56.0,48.0,68.0,84.0,60.0,74.0,93.0,60.0,79.0,57.0,54.0,62.0,40.0,31.0,28.0,21.0,25.0,28.0,17.0,15.0,43.0,20.0,4.0,47.0,22.0,13.0,21.0
Recoleta,37.0,61.0,32.0,34.0,35.0,34.0,45.0,47.0,53.0,62.0,63.0,69.0,57.0,55.0,91.0,67.0,39.0,96.0,66.0,72.0,89.0,59.0,78.0,106.0,59.0,54.0,83.0,59.0,66.0,67.0,56.0,56.0,87.0,54.0,69.0,81.0,27.0,32.0,33.0,36.0,33.0,34.0,50.0,32.0,19.0,36.0,24.0,14.0,29.0,18.0,18.0
Renca,73.0,42.0,36.0,48.0,50.0,42.0,116.0,77.0,136.0,136.0,89.0,131.0,179.0,110.0,114.0,137.0,143.0,132.0,75.0,126.0,112.0,84.0,106.0,112.0,60.0,72.0,103.0,74.0,53.0,73.0,67.0,47.0,51.0,62.0,58.0,57.0,38.0,44.0,27.0,44.0,19.0,28.0,43.0,23.0,24.0,22.0,20.0,48.0,25.0,22.0,49.0
Requínoa,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,
Retiro,1.0,,,,,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeral,1.0,,,,1.0,,,,,,,,2.0,,,2.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,
San Antonio,,,,5.0,,,,,,,1.0,,1.0,3.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
San Bernardo,70.0,57.0,63.0,64.0,64.0,46.0,109.0,133.0,103.0,90.0,108.0,93.0,101.0,105.0,80.0,119.0,125.0,100.0,126.0,120.0,141.0,135.0,113.0,168.0,104.0,115.0,166.0,129.0,113.0,109.0,118.0,76.0,67.0,85.0,70.0,72.0,45.0,60.0,26.0,46.0,36.0,37.0,56.0,46.0,45.0,49.0,40.0,34.0,41.0,22.0,26.0
San Clemente,2.0,,,1.0,1.0,1.0,1.0,,3.0,2.0,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,
San Joaquín,37.0,30.0,17.0,17.0,32.0,21.0,23.0,47.0,32.0,42.0,41.0,22.0,45.0,35.0,43.0,65.0,28.0,46.0,68.0,47.0,35.0,37.0,53.0,39.0,28.0,33.0,30.0,34.0,31.0,45.0,27.0,18.0,35.0,35.0,16.0,21.0,13.0,10.0,21.0,14.0,3.0,6.0,11.0,6.0,7.0,8.0,16.0,10.0,14.0,7.0,3.0
San José de Maipo,10.0,,8.0,9.0,4.0,,2.0,2.0,1.0,,4.0,5.0,5.0,11.0,6.0,11.0,17.0,8.0,10.0,8.0,8.0,9.0,10.0,2.0,7.0,9.0,2.0,3.0,1.0,1.0,,,2.0,4.0,,2.0,3.0,4.0,2.0,,,2.0,,,,,,,,1.0,
San Miguel,29.0,23.0,26.0,16.0,25.0,27.0,49.0,41.0,50.0,65.0,47.0,38.0,71.0,49.0,47.0,53.0,71.0,53.0,57.0,65.0,72.0,68.0,39.0,73.0,55.0,16.0,63.0,40.0,42.0,50.0,36.0,31.0,53.0,32.0,12.0,24.0,17.0,25.0,17.0,19.0,27.0,13.0,7.0,27.0,18.0,6.0,17.0,16.0,12.0,11.0,8.0
San Pedro,,2.0,1.0,1.0,,1.0,9.0,13.0,5.0,2.0,9.0,2.0,,,2.0,2.0,1.0,3.0,3.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,,3.0,1.0,,2.0,1.0,,1.0,2.0,1.0,2.0,,2.0,3.0,1.0,4.0,4.0,,1.0,2.0,,2.0,1.0,,2.0
San Ramón,32.0,5.0,24.0,20.0,7.0,16.0,20.0,18.0,25.0,34.0,41.0,32.0,37.0,38.0,27.0,28.0,31.0,22.0,27.0,38.0,27.0,31.0,43.0,45.0,21.0,39.0,40.0,28.0,25.0,31.0,25.0,13.0,23.0,20.0,11.0,21.0,11.0,4.0,10.0,13.0,3.0,13.0,9.0,4.0,8.0,9.0,9.0,13.0,3.0,6.0,13.0
Santiago,313.0,313.0,219.0,237.0,307.0,193.0,538.0,530.0,589.0,562.0,475.0,485.0,511.0,438.0,487.0,554.0,593.0,568.0,513.0,673.0,528.0,488.0,531.0,617.0,455.0,432.0,537.0,438.0,400.0,449.0,379.0,349.0,338.0,294.0,306.0,275.0,240.0,276.0,194.0,228.0,195.0,181.0,178.0,155.0,165.0,205.0,168.0,161.0,161.0,162.0,142.0
Talagante,23.0,19.0,12.0,23.0,18.0,10.0,29.0,35.0,60.0,35.0,37.0,60.0,53.0,40.0,26.0,53.0,36.0,47.0,47.0,29.0,35.0,44.0,28.0,21.0,24.0,25.0,24.0,21.0,27.0,30.0,37.0,46.0,25.0,33.0,25.0,20.0,15.0,16.0,8.0,5.0,13.0,12.0,2.0,3.0,9.0,4.0,4.0,8.0,7.0,5.0,10.0
Talca,,2.0,1.0,,1.0,1.0,1.0,,,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,,1.0,2.0,,3.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,,,2.0
Talcahuano,2.0,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,3.0,,,3.0
Tiltil,6.0,10.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,9.0,2.0,2.0,10.0,1.0,4.0,5.0,1.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,1.0,6.0,6.0,9.0,13.0,9.0,11.0,9.0,9.0,9.0,5.0,6.0,7.0,,4.0,4.0,,3.0,5.0,,6.0,16.0,,5.0,11.0,,15.0
Treguaco,,,,5.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdivia,2.0,,,,,,,,,1.0,1.0,3.0,,,3.0,,,,1.0,2.0,2.0,1.0,2.0,3.0,,,3.0,,,3.0,,2.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,
Valparaíso,5.0,,2.0,3.0,2.0,2.0,1.0,1.0,,,2.0,,3.0,5.0,,2.0,7.0,,,3.0,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,3.0,1.0,,1.0,,1.0,1.0,,2.0,,,1.0,,2.0,,
Villa Alemana,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
Villarrica,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
Vitacura,9.0,8.0,11.0,9.0,8.0,6.0,23.0,11.0,19.0,15.0,5.0,13.0,16.0,15.0,18.0,19.0,26.0,17.0,16.0,15.0,20.0,27.0,9.0,16.0,20.0,8.0,18.0,17.0,12.0,17.0,17.0,15.0,4.0,10.0,7.0,5.0,13.0,6.0,2.0,5.0,10.0,7.0,3.0,8.0,7.0,4.0,6.0,6.0,7.0,7.0,8.0
Viña del Mar,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,8.0,2.0,7.0,12.0,2.0,7.0,4.0,,2.0,2.0,,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,,5.0,2.0,5.0,,,2.0,,1.0,2.0,,,2.0,,,,,,1.0,,4.0,1.0
Ñuñoa,13.0,20.0,33.0,17.0,18.0,17.0,48.0,43.0,41.0,48.0,51.0,41.0,37.0,57.0,43.0,42.0,53.0,64.0,53.0,62.0,80.0,53.0,36.0,57.0,37.0,29.0,48.0,27.0,31.0,46.0,18.0,38.0,24.0,22.0,32.0,19.0,24.0,10.0,19.0,16.0,7.0,23.0,10.0,9.0,18.0,12.0,10.0,9.0,10.0,15.0,16.0
