cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10
Aisén,1.0,5.0,1.0,,5.0,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,3.0,,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,4.0,1.0,,1.0,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,
Algarrobo,,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,2.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Alhué,10.0,,,5.0,,,8.0,,2.0,,,7.0,3.0,3.0,16.0,4.0,9.0,13.0,9.0,7.0,7.0,7.0,9.0,8.0,1.0,6.0,3.0,,3.0,3.0,6.0,1.0,2.0,12.0,,,,,,,,2.0,,1.0,2.0,,1.0,2.0,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,3.0,3.0
Alto Hospicio,3.0,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,2.0,,1.0,2.0,
Andacollo,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,
Angol,1.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,2.0,,,1.0,,,,1.0,,,,,
Antofagasta,,1.0,1.0,,,4.0,,2.0,,,,,,,,,9.0,,,12.0,,1.0,4.0,1.0,2.0,,,1.0,,,,,,,,,,,4.0,1.0,1.0,1.0,5.0,,,,,,1.0,3.0,,,,5.0,1.0,,4.0,,,1.0,1.0,,,1.0,1.0,,3.0,3.0,,7.0,1.0
Antuco,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,
Arauco,2.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arica,10.0,,11.0,5.0,,11.0,1.0,5.0,6.0,3.0,3.0,9.0,7.0,,6.0,3.0,2.0,3.0,7.0,9.0,,3.0,9.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,2.0,,8.0,,,2.0,2.0,5.0,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,,,1.0,,3.0,11.0,1.0,,14.0,1.0,,3.0,2.0,,2.0,8.0,9.0,1.0,7.0,12.0
Buin,49.0,31.0,39.0,45.0,29.0,43.0,54.0,38.0,54.0,66.0,55.0,47.0,41.0,57.0,50.0,41.0,46.0,73.0,50.0,45.0,58.0,52.0,71.0,65.0,55.0,58.0,63.0,42.0,30.0,40.0,49.0,42.0,46.0,48.0,55.0,46.0,30.0,22.0,35.0,30.0,17.0,41.0,26.0,35.0,48.0,22.0,33.0,30.0,20.0,15.0,17.0,16.0,17.0,3.0,19.0,17.0,15.0,16.0,24.0,23.0,46.0,29.0,20.0,40.0,37.0,18.0,29.0,20.0,19.0,40.0,29.0
Cabrero,,1.0,,,,,,,,,,,,2.0,,,2.0,1.0,,,1.0,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,,
Calama,,,1.0,,,1.0,,,,,,,,1.0,,,,,,1.0,,2.0,1.0,,2.0,,,,,2.0,,2.0,,,2.0,2.0,,,,1.0,,,4.0,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,
Calbuco,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,
Calera de Tango,10.0,12.0,8.0,7.0,11.0,1.0,3.0,15.0,14.0,17.0,15.0,18.0,19.0,15.0,3.0,22.0,14.0,7.0,16.0,19.0,11.0,27.0,16.0,19.0,26.0,17.0,36.0,16.0,27.0,32.0,16.0,11.0,12.0,7.0,7.0,21.0,6.0,8.0,4.0,4.0,1.0,9.0,,,7.0,,2.0,2.0,8.0,11.0,1.0,10.0,10.0,,6.0,10.0,4.0,11.0,13.0,15.0,19.0,4.0,6.0,16.0,4.0,,7.0,3.0,2.0,4.0,
Cartagena,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,2.0,1.0,,,1.0
Castro,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauquenes,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cañete,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,2.0,2.0,,2.0,1.0,2.0,,,2.0,,1.0,,4.0,2.0,1.0,2.0,1.0,1.0,,
Cerrillos,27.0,21.0,28.0,23.0,15.0,9.0,34.0,52.0,51.0,35.0,54.0,41.0,30.0,37.0,40.0,37.0,54.0,54.0,40.0,70.0,76.0,26.0,61.0,65.0,41.0,24.0,35.0,46.0,32.0,41.0,33.0,46.0,32.0,32.0,29.0,34.0,17.0,15.0,12.0,14.0,21.0,10.0,13.0,14.0,10.0,17.0,8.0,3.0,10.0,6.0,4.0,9.0,14.0,9.0,13.0,12.0,8.0,10.0,7.0,15.0,14.0,8.0,23.0,12.0,6.0,10.0,7.0,11.0,12.0,11.0,17.0
Cerro Navia,41.0,45.0,33.0,36.0,66.0,34.0,85.0,86.0,90.0,62.0,106.0,84.0,92.0,101.0,92.0,74.0,108.0,66.0,60.0,86.0,68.0,92.0,71.0,107.0,65.0,63.0,90.0,58.0,75.0,54.0,56.0,79.0,41.0,48.0,47.0,39.0,56.0,60.0,15.0,55.0,44.0,14.0,44.0,39.0,24.0,36.0,29.0,18.0,29.0,33.0,21.0,20.0,21.0,11.0,10.0,10.0,17.0,8.0,5.0,16.0,25.0,3.0,5.0,20.0,16.0,9.0,12.0,27.0,16.0,33.0,29.0
Chiguayante,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,3.0,3.0,,3.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,2.0,1.0,2.0,2.0,,1.0,,2.0,,,3.0,1.0
Chillán,7.0,1.0,4.0,5.0,2.0,1.0,,,,,,1.0,,,3.0,,,1.0,,,1.0,1.0,,3.0,1.0,1.0,5.0,2.0,1.0,6.0,,,3.0,2.0,,6.0,4.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,,2.0,2.0,,1.0,1.0,1.0,,2.0,,,1.0,1.0,,2.0,1.0,,,2.0,,1.0,3.0,,,1.0,1.0,7.0
Chillán Viejo,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,,,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
Chimbarongo,,,2.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,5.0,,,4.0,1.0,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,2.0,,
Chonchi,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
Coihueco,,2.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,
Colina,27.0,43.0,47.0,39.0,53.0,37.0,65.0,70.0,69.0,74.0,64.0,55.0,78.0,64.0,48.0,88.0,97.0,59.0,77.0,132.0,101.0,77.0,106.0,117.0,65.0,52.0,81.0,76.0,50.0,80.0,88.0,39.0,48.0,42.0,36.0,43.0,50.0,52.0,38.0,46.0,30.0,26.0,40.0,35.0,29.0,45.0,47.0,36.0,55.0,40.0,31.0,49.0,26.0,29.0,46.0,43.0,40.0,72.0,37.0,55.0,62.0,28.0,59.0,45.0,49.0,64.0,74.0,54.0,89.0,107.0,104.0
Collipulli,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,4.0,1.0,,1.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,,1.0,,,,,,,,,3.0,1.0,3.0,3.0,,2.0,,,,,1.0,1.0,,1.0,3.0,,1.0,2.0,,1.0,,1.0,,1.0,2.0,,4.0
Con Con,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,,,,3.0,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,3.0,1.0,
Concepción,,,,2.0,2.0,4.0,1.0,2.0,,,1.0,,,,2.0,,1.0,,1.0,1.0,1.0,,,3.0,,1.0,1.0,,2.0,2.0,2.0,9.0,2.0,2.0,,,,2.0,4.0,,2.0,,4.0,3.0,2.0,4.0,1.0,1.0,,1.0,4.0,2.0,4.0,14.0,3.0,2.0,10.0,,1.0,,,,,,,2.0,,,1.0,1.0,
Conchalí,29.0,37.0,42.0,31.0,49.0,28.0,51.0,86.0,89.0,72.0,74.0,89.0,75.0,59.0,80.0,123.0,97.0,90.0,100.0,100.0,97.0,85.0,110.0,104.0,84.0,92.0,76.0,83.0,54.0,51.0,72.0,51.0,41.0,51.0,44.0,43.0,37.0,34.0,22.0,31.0,10.0,21.0,27.0,7.0,20.0,22.0,14.0,20.0,28.0,19.0,19.0,33.0,8.0,24.0,20.0,9.0,27.0,17.0,37.0,27.0,29.0,37.0,27.0,32.0,21.0,31.0,44.0,47.0,38.0,60.0,60.0
Copiapó,,,,,1.0,,2.0,2.0,15.0,3.0,2.0,12.0,1.0,,,,,,,5.0,1.0,1.0,4.0,4.0,1.0,4.0,6.0,1.0,,36.0,,2.0,28.0,,,,,1.0,,,,,,,,,1.0,4.0,,,3.0,,1.0,5.0,,,6.0,,,1.0,,,2.0,,6.0,1.0,,3.0,1.0,,1.0
Coquimbo,4.0,2.0,10.0,4.0,,4.0,3.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,,4.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,,2.0,5.0,,,5.0,5.0,6.0,1.0,6.0,7.0,1.0,6.0,1.0,,2.0,,1.0,8.0,,3.0,6.0,,,,1.0,,2.0,3.0,,2.0,1.0,1.0,,,,,,,1.0,2.0,2.0
Coronel,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,2.0,,,2.0,4.0,,1.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,,2.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,5.0,1.0,,5.0,,,1.0,1.0,,1.0,1.0,,,1.0,2.0,,1.0,2.0,,1.0,1.0,,,,,1.0,2.0
Coyhaique,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,3.0,,,,,,1.0,4.0,2.0,2.0,4.0,2.0,1.0,,,,1.0,1.0,,1.0,2.0,3.0,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,2.0,
Cunco,1.0,2.0,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,2.0,1.0,,,3.0,,,4.0,,,,,,,2.0,,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
Curacautín,,2.0,,,2.0,,3.0,,,3.0,,,,,2.0,,,1.0,1.0,,2.0,,,2.0,,,,,,,2.0,,,1.0,,,3.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacaví,14.0,6.0,10.0,20.0,5.0,24.0,15.0,5.0,17.0,11.0,8.0,9.0,10.0,19.0,14.0,16.0,32.0,32.0,14.0,27.0,38.0,26.0,21.0,48.0,34.0,19.0,39.0,29.0,22.0,23.0,20.0,12.0,25.0,7.0,9.0,21.0,5.0,2.0,19.0,,6.0,8.0,2.0,8.0,7.0,10.0,2.0,2.0,12.0,,7.0,6.0,3.0,16.0,11.0,3.0,10.0,14.0,7.0,11.0,8.0,8.0,13.0,7.0,5.0,5.0,14.0,10.0,6.0,18.0,21.0
Curicó,,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,2.0,,1.0,2.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,
Desconocido,16.0,13.0,3.0,20.0,8.0,5.0,21.0,13.0,25.0,24.0,22.0,26.0,24.0,23.0,16.0,20.0,27.0,11.0,17.0,24.0,12.0,19.0,16.0,10.0,18.0,20.0,8.0,15.0,23.0,12.0,15.0,7.0,19.0,10.0,8.0,11.0,16.0,4.0,7.0,20.0,8.0,11.0,15.0,7.0,7.0,1.0,3.0,7.0,6.0,10.0,6.0,15.0,15.0,5.0,12.0,5.0,5.0,11.0,5.0,7.0,18.0,18.0,6.0,11.0,12.0,2.0,3.0,5.0,7.0,7.0,7.0
Diego de Almagro,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bosque,44.0,39.0,29.0,29.0,26.0,36.0,55.0,46.0,73.0,56.0,71.0,58.0,42.0,76.0,63.0,65.0,74.0,75.0,81.0,87.0,70.0,86.0,85.0,71.0,72.0,77.0,84.0,77.0,81.0,59.0,60.0,67.0,46.0,40.0,67.0,36.0,24.0,25.0,22.0,40.0,18.0,39.0,42.0,13.0,22.0,29.0,21.0,19.0,26.0,20.0,17.0,24.0,12.0,29.0,11.0,16.0,21.0,7.0,7.0,24.0,38.0,23.0,22.0,39.0,22.0,22.0,12.0,22.0,23.0,9.0,34.0
El Monte,7.0,9.0,4.0,5.0,11.0,4.0,7.0,9.0,11.0,13.0,7.0,6.0,24.0,11.0,5.0,18.0,12.0,11.0,9.0,21.0,12.0,9.0,20.0,27.0,9.0,14.0,23.0,21.0,11.0,26.0,22.0,3.0,9.0,10.0,4.0,5.0,3.0,12.0,6.0,1.0,9.0,5.0,4.0,8.0,3.0,3.0,10.0,11.0,5.0,20.0,17.0,10.0,12.0,8.0,10.0,5.0,3.0,8.0,5.0,2.0,10.0,22.0,12.0,12.0,26.0,9.0,3.0,7.0,9.0,6.0,9.0
El Quisco,4.0,,,4.0,,,,1.0,,1.0,1.0,,,,4.0,,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ercilla,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estación Central,71.0,67.0,45.0,34.0,46.0,53.0,63.0,80.0,57.0,95.0,71.0,81.0,120.0,45.0,82.0,80.0,87.0,82.0,71.0,79.0,71.0,73.0,90.0,69.0,56.0,95.0,84.0,72.0,56.0,77.0,93.0,66.0,78.0,97.0,75.0,74.0,40.0,60.0,41.0,30.0,38.0,29.0,31.0,18.0,29.0,40.0,25.0,33.0,21.0,24.0,15.0,16.0,14.0,19.0,21.0,11.0,22.0,21.0,18.0,26.0,23.0,11.0,28.0,21.0,24.0,21.0,23.0,30.0,51.0,31.0,58.0
Florida,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freire,,1.0,,,,,,1.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,3.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0
Galvarino,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graneros,,1.0,3.0,,,3.0,1.0,,,,,,3.0,,2.0,3.0,1.0,,,,,2.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,2.0,1.0,2.0,,3.0
Hualpén,,,,1.0,2.0,,,2.0,,,2.0,1.0,,,,,,,,,1.0,,,1.0,,,,2.0,,,1.0,,,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,
Huasco,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Huechuraba,31.0,24.0,18.0,22.0,29.0,21.0,72.0,56.0,80.0,55.0,51.0,69.0,42.0,45.0,103.0,63.0,47.0,101.0,69.0,50.0,66.0,67.0,56.0,62.0,54.0,44.0,70.0,25.0,31.0,70.0,30.0,32.0,54.0,39.0,29.0,35.0,5.0,14.0,18.0,12.0,9.0,18.0,27.0,13.0,30.0,20.0,23.0,39.0,13.0,12.0,18.0,9.0,14.0,11.0,11.0,28.0,9.0,12.0,32.0,18.0,10.0,25.0,25.0,8.0,25.0,20.0,15.0,41.0,48.0,45.0,65.0
Independencia,18.0,16.0,19.0,3.0,15.0,7.0,40.0,49.0,51.0,39.0,55.0,50.0,30.0,51.0,39.0,42.0,43.0,43.0,55.0,57.0,46.0,55.0,45.0,66.0,54.0,44.0,58.0,50.0,42.0,43.0,40.0,33.0,38.0,28.0,32.0,34.0,11.0,19.0,10.0,25.0,11.0,17.0,29.0,11.0,10.0,24.0,14.0,5.0,8.0,12.0,11.0,8.0,9.0,10.0,9.0,18.0,15.0,15.0,25.0,17.0,13.0,24.0,15.0,11.0,23.0,14.0,12.0,31.0,31.0,31.0,43.0
Isla de Maipo,5.0,11.0,16.0,13.0,1.0,14.0,22.0,17.0,29.0,11.0,10.0,19.0,11.0,3.0,12.0,23.0,27.0,28.0,13.0,40.0,26.0,17.0,27.0,27.0,8.0,22.0,19.0,11.0,17.0,15.0,20.0,13.0,13.0,15.0,19.0,15.0,15.0,4.0,7.0,8.0,2.0,3.0,7.0,3.0,10.0,2.0,3.0,8.0,4.0,1.0,6.0,2.0,7.0,5.0,1.0,10.0,3.0,1.0,10.0,5.0,12.0,7.0,8.0,14.0,8.0,5.0,10.0,4.0,8.0,9.0,13.0
La Cisterna,39.0,18.0,25.0,21.0,21.0,35.0,32.0,43.0,39.0,53.0,38.0,35.0,53.0,49.0,27.0,34.0,48.0,41.0,36.0,58.0,60.0,44.0,58.0,72.0,47.0,38.0,34.0,54.0,31.0,31.0,39.0,21.0,20.0,33.0,13.0,22.0,11.0,20.0,14.0,11.0,19.0,17.0,13.0,20.0,17.0,13.0,8.0,13.0,8.0,2.0,12.0,7.0,9.0,17.0,13.0,11.0,11.0,11.0,11.0,12.0,10.0,19.0,14.0,15.0,26.0,9.0,4.0,34.0,12.0,10.0,37.0
