_id.dia_seg,count
03-06-2021,12591
22-09-2021,657
06-07-2021,3792
05-08-2021,1074
13-07-2021,2846
05-07-2021,4024
11-07-2021,3245
30-07-2021,1350
23-08-2021,770
18-06-2021,10375
13-09-2021,707
30-05-2021,13028
02-06-2021,12334
10-06-2021,13085
22-07-2021,1669
08-08-2021,1112
16-06-2021,11328
13-08-2021,867
28-08-2021,719
05-06-2021,24508
04-09-2021,683
08-09-2021,550
09-10-2021,1083
14-10-2021,1380
31-08-2021,617
26-06-2021,7143
06-08-2021,1153
20-08-2021,818
09-06-2021,13293
15-06-2021,34980
05-10-2021,882
26-05-2021,11546
15-07-2021,2699
22-05-2021,13534
30-08-2021,593
29-06-2021,5763
16-08-2021,912
19-07-2021,2067
24-05-2021,13479
03-10-2021,857
12-07-2021,3114
14-06-2021,12265
25-05-2021,12478
17-06-2021,10819
08-06-2021,24428
25-07-2021,1507
02-07-2021,5069
20-07-2021,1911
17-08-2021,914
24-08-2021,741
02-09-2021,682
15-09-2021,686
18-09-2021,474
23-05-2021,13608
26-08-2021,711
26-09-2021,723
03-07-2021,4771
14-08-2021,971
18-07-2021,2196
05-09-2021,726
28-09-2021,902
28-05-2021,11934
12-10-2021,972
13-10-2021,1145
24-06-2021,7410
23-07-2021,1625
07-07-2021,3624
20-06-2021,9680
28-07-2021,1500
27-07-2021,1510
16-07-2021,2478
06-06-2021,13259
12-06-2021,13102
24-07-2021,1608
23-09-2021,812
14-09-2021,807
06-09-2021,636
27-05-2021,11663
01-08-2021,1198
01-10-2021,1140
07-10-2021,946
21-09-2021,537
08-07-2021,3458
25-06-2021,7368
11-08-2021,1000
15-08-2021,889
29-08-2021,691
12-09-2021,807
04-06-2021,12634
14-07-2021,2753
16-09-2021,676
09-08-2021,992
01-06-2021,11982
22-08-2021,756
25-08-2021,746
23-06-2021,7737
22-06-2021,8061
10-08-2021,959
20-05-2021,12783
26-07-2021,1415
29-07-2021,1392
04-10-2021,824
21-05-2021,13276
09-07-2021,3388
24-09-2021,700
21-08-2021,884
07-06-2021,12344
01-09-2021,624
11-06-2021,13598
19-09-2021,444
21-07-2021,1810
11-10-2021,1017
27-08-2021,825
07-09-2021,626
17-07-2021,2392
09-09-2021,568
10-09-2021,572
31-05-2021,12135
28-06-2021,6118
06-10-2021,943
10-10-2021,1135
04-07-2021,4451
25-09-2021,741
19-08-2021,822
01-07-2021,5454
19-06-2021,10455
31-07-2021,1252
27-06-2021,6891
03-09-2021,625
02-10-2021,997
10-07-2021,3486
13-06-2021,13081
21-06-2021,8766
12-08-2021,892
18-08-2021,947
20-09-2021,453
03-08-2021,1073
17-09-2021,501
04-08-2021,1207
29-05-2021,12831
30-09-2021,1112
08-10-2021,963
02-08-2021,1118
29-09-2021,973